;media_name;media_url;article_url;article_title;article_text
0;NYTimes;https://www.nytimes.com;https://www.nytimes.com/international/section/business/media;Media;Shane Gillis Bounced Back From ‘S.N.L.’ Debacle. On Saturday, He’ll Host.The comedian was abruptly fired in 2019, just after being named to the cast, when offensive comments he’d made surfaced. Now a rising stand-up star, he is set to appear on the show this weekend.
1;NYTimes;https://www.nytimes.com;https://www.nytimes.com/interactive/2023/10/27/arts/music/music-fivemins-collection.html;5 Minutes to Make You Love Music;Card 1 of 305 Minutes That Will Make You Love Alice ColtraneWe asked writers, critics and musicians including Meshell Ndegeocello and Angel Bat Dawid to tell us what moves them in Coltrane’s spiritual jazz.Background Image: A colorful animated illustration of a musician with a loose resemblance to Alice Coltrane playing the harp with their eyes closed.
2;NYTimes;https://www.nytimes.com;https://www.nytimes.com/2023/10/19/podcasts/serial-kids-rutherford-county.html;From Serial Productions: The Kids of Rutherford County;This transcript was created using speech recognition software. While it has been reviewed by human transcribers, it may contain errors. Please review the episode audio before quoting from this transcript and email transcripts@nytimes.com with any questions.meribah knightDo you remember what year it was that you were arrested and jailed?speaker 1 I was so young that I don’t even remember what was going on in that time. [MUSIC PLAYING]meribah knightYeah. Right. And so you were — how old were you?speaker 1 Seven.meribah knightOh, my god. When Brandon was just seven years old, police showed up at his door to arrest him. Brandon’s offense? Tagging along with his older brothers who’d wrestled in a vacant duplex and left some holes in the drywall. Now police were there to take Brandon and his brothers to the juvenile detention center, jail, basically.speaker 1 My mom said that they weren’t going to take me in. But they were like, well, he needs to learn his lesson.meribah knightBrandon was held in detention overnight and then brought to the juvenile court for his hearing.speaker 1 They had me in shackles, from our feet to our arms, going into court.meribah knightBrandon should have gone home with his mom that day. But when he went before the judge, she sent him back to jail for a week. Brandon’s arrest and detention happened in Rutherford County, Tennessee. And his case wasn’t unique there. For over a decade, the county was arresting and jailing kids for even the most minor offenses.speaker 2 I didn’t want to go to school. speaker 3 I just ran away. speaker 4 I spray painted a penis on a wall.meribah knightIt happened so often, to so many kids in Rutherford County, that getting sent to juvenile detention was almost a rite of passage. In many cases, what it also was was illegal. This is the story of how that system came to be, how it came to be normalized, accepted, lauded even. It’s also the story of two insiders who actually did see the problem in Rutherford County.speaker 5 We would sit out, and smoke a cigarette, and say, we’re going to burn this place to the ground. [LAUGHS]meribah knightThey just needed other people to see it, too. From Serial Productions and the New York Times, I’m Meribah Knight. And this is The Kids of Rutherford County, coming October 26.
3;NYTimes;https://www.nytimes.com;https://www.nytimes.com/article/submit-crossword-puzzles-the-new-york-times.html;Submit Your Crossword Puzzles to The New York Times;Submissions are open.A New York Times crossword will be a collaboration between you and our staff of editors, who will seek to preserve your voice while making the puzzle as enjoyable as possible for solvers. This page of guidelines is a living document and reflects our current best practices on crossword construction.A summary of what we look for:Lively fill, with words, phrases and names that solvers know or can infer from the crossings.Original, on-target clues, pitched at the puzzle’s intended difficulty level, including a variety of cultural reference points.No more than three puzzles pending at a time.What we could use more of: Thursday and Sunday puzzles that don’t involve a rebus.Submission GuidelinesThemesThemes should be fresh, interesting, narrowly defined and consistently applied throughout the puzzle. For example, if the theme includes a particular kind of pun, then all the puns should be of that kind. Themes and theme entries should be accessible to everyone. We generally prefer puzzles with playful themes rather than straightforward subjects.FillConstructors should emphasize lively words, well-known names and fresh phrases. Common words that lend themselves to interesting and imaginative cluing angles are encouraged.
4;NYTimes;https://www.nytimes.com;https://www.nytimes.com/2022/09/19/crosswords/mini-to-maestro-part-1.html;How to Solve Beginner Crosswords;This is Part 1 of a three-part series on learning to solve crossword puzzles. Be sure to check out Part 2 and Part 3.Here’s a not-so-well-kept secret for you: Everyone can solve the New York Times Crossword.If you’re already rolling your eyes, take it from us: Jackie Frere, community engagement manager, and Isaac Aronow, associate editor of Gameplay. Jackie was someone who had tried the Monday crossword once, failed, got embarrassed and gave up completely. Isaac has been solving for a while but fell out of practice at the start of the pandemic. We challenged ourselves to see if we could start fresh and complete a Saturday New York Times Crossword in the matter of weeks. Spoiler alert: We did.In case you didn’t know, the daily New York Times Crossword has a difficulty curve as the week goes on. Monday is the easiest puzzle, and then Tuesday is a little harder, climbing up to Saturday, which is the hardest day of the week. Sunday puzzles are sometimes asserted to be the most difficult puzzle of the week, but much of that difficulty comes from the larger size of Sunday puzzles, rather than the clues, the answers or the themes.
5;NYTimes;https://www.nytimes.com;https://theathletic.com/5029170/2023/12/19/free-agents-mlb-list/;2023-24 MLB Top 40 Free Agent Big Board: Tracking where they land;Yamamoto will be the most prized pitcher on the open market for two reasons. First, he’s posted better results in Nippon Professional Baseball than any pitcher who’s ever signed in the majors. Second, he’s only 25, making him an appealing option for teams that are both looking to win right away in 2024 and toward a sustained window of competitiveness beyond next year.Yamamoto has won the last three Eiji Sawamura awards — Japan’s version of the Cy Young Award — and twice been named the Pacific League’s most valuable player.Yamamoto works with a fastball that sits in the mid-90s and touches higher. His best secondary pitch is a splitter that dives off the table, and he utilizes an unorthodox grip on a tight curveball. Yamamoto has struck out opposing hitters about 50 percent more than the league average in Japan.A team signing Yamamoto will be subjected to a posting fee, paying 20 percent of the first $25 million, 17.5 percent of the next $25 million, and 15 percent of anything over $50 million.
6;NYTimes;https://www.nytimes.com;https://www.nytimes.com/live/2024/02/23/us/trump-haley-south-carolina;Election Updates: After backlash to Alabama ruling, Trump says he supports I.V.F.;Former President Donald J. Trump often characterizes his presidential campaign as a battle for America’s future. But speaking at a Christian broadcast media convention in Nashville on Thursday, he wrapped that depiction within a stark good-versus-evil framework, portraying his political opponents as part of a “wicked” system.Mr. Trump also revived his claim that America’s “greatest threat is not from the outside of our country” but “from within,” language that drew alarm last year from experts who saw in it echoes of autocratic leaders.During Thursday’s speech at the National Religious Broadcasters convention in Nashville, Mr. Trump portrayed the threat as liberals — more specifically, a “radical left, corrupt political class” — whom he broadly cast as intrinsically bent on attacking Christianity.“Christians, they can’t afford to sit on the sidelines in this fight,” Mr. Trump said. He later added, without offering evidence, that liberals were persecuting Christians because “they know that our allegiance is not to them. Our allegiance is to our country, and our allegiance is to our creator.” (There are many Christians who are Democrats.)Before running for office, Mr. Trump made little show of being particularly religious, which he acknowledged early in his speech, and he does not often give faith-focused speeches on the trail. But evangelical voters in 2016 were drawn to his populist message and his pledges to appoint “pro-life” judges, and they have remained loyal to him.During his third run for office, Mr. Trump has often cast himself as a staunch defender of the Christian right. He also often boasts of his appointment of three justices to the Supreme Court who, in 2022, voted to overturn Roe v. Wade.On Thursday, he praised those justices — Neil Gorsuch, Brett Kavanaugh and Amy Coney Barrett — from the stage, calling them “great justices” and “great people.” (All three will be deciding on constitutional issues tied to Mr. Trump’s criminal cases and his election bid.)Mr. Trump has often appeared uncomfortable or unwilling to discuss abortion at length on the campaign trail. During his speech, he took credit for the Supreme Court’s decision to overturn Roe v. Wade, without using the word “abortion” or mentioning the case by name.“I was able to bring this issue for the first time in 54 years back to the states,” Mr. Trump said, before falsely declaring that “on both sides, everybody agrees that’s where it should be.”Many voters did not want to see Roe v. Wade overturned, a fact that became more evident after abortion rights emerged as a campaign issue that lifted Democrats in elections across the country in 2022 and 2023.Mr. Trump has avoided taking a clear position on restrictions to abortion in the wake of those elections, and his emphasis on states’ rights during Thursday’s speech is part of that pattern.He also did not address a recent Alabama Supreme Court ruling that embryos in test tubes should be considered children, a decision that cited anti-abortion language. The Biden campaign has criticized Mr. Trump’s silence on the issue.Mr. Trump has previously said Republicans must find a way to talk about the issue that does not threaten them at the ballot box, and he previously criticized a six-week abortion ban signed by Gov. Ron DeSantis of Florida, a Republican and a former political rival, as a “terrible mistake.”But Mr. Trump has told advisers and allies that he likes the idea of a 16-week national abortion ban with three exceptions, in cases of rape or incest, or to save the life of the mother, The New York Times reported last week, citing two people with direct knowledge of Mr. Trump’s deliberations.On Thursday, he tied the issue to his legal troubles, criticizing the Justice Department for prosecuting six anti-abortion protesters who in 2021 obstructed a reproductive health clinic in Tennessee in violation of federal laws. They were convicted by a jury in the state last month, in a case that has been a flashpoint for conservative activists.He also repeated a vow to create a federal task force to focus on “anti-Christian” bias. Mr. Trump has tried to appeal to Christian voters by accusing the Biden administration of criminalizing Americans for their faith, though experts have said that many of his claims are baseless or misleading.But Mr. Trump — who faces 91 felony counts in four criminal cases, including one tied to his efforts to overturn the 2020 election — uses those characterizations to support a larger theme of his campaign: that President Biden and Democrats are severe threats to democracy.Image Attendees in Nashville on Thursday. Evangelical voters have remained loyal to Mr. Trump. Credit... Taylor Baucom for The New York TimesThat tendency was on display on Thursday. Before Mr. Trump was introduced, loudspeakers sounded out “Justice for All,” a song featuring the J6 Prison Choir, which is composed of men who were imprisoned for their parts in the Capitol riot on Jan. 6, 2021.That song — which features the men singing “The Star-Spangled Banner” while Mr. Trump recites the Pledge of Allegiance — is part of a broader effort by Mr. Trump and his supporters to reframe the effort to overturn the 2020 election as an act of patriotism.During his speech, Mr. Trump referred to the singers as “the J6 hostages,” a term he has repeatedly used to describe those serving sentences in connection with the Jan. 6 attack.
7;NYTimes;https://www.nytimes.com;https://www.nytimes.com/live/2024/02/23/world/israel-hamas-war-gaza-news;Middle East Crisis Netanyahu Pushes for Indefinite Military Control Over Gaza;Secretary of State Antony J. Blinken said the United States considers the building of Israeli settlements in Palestinian territories illegal and “counterproductive to reaching an enduring peace.”On settlements, we’ve seen the reports and I have to say we’re disappointed in the announcement. It’s been longstanding U.S. policy under Republican and Democratic administrations alike that new settlements are counterproductive to reaching an enduring peace. They’re also inconsistent with international law. Our administration maintains a firm opposition to settlement expansion, and in our judgment. this only weakens — doesn’t strengthen — Israel’s security.Secretary of State Antony J. Blinken said on Friday that the American government now considers new Israeli settlements in Palestinian territories to be “inconsistent with international law,” marking a reversal of a policy set under the Trump administration and a return to a decades-long U.S. position on the contentious subject.Mr. Blinken spoke at a news conference in Buenos Aires, after Israel’s finance minister, Bezalel Smotrich, made an announcement on Thursday indicating thousands of new residences would be added to settlements. Mr. Blinken said he was “disappointed” at the announcement.“It’s been longstanding U.S. policy under Republican and Democratic administrations alike that new settlements are counterproductive to reaching enduring peace,” he said. “They’re inconsistent with international law. Our administration maintains firm opposition to settlement expansion. And in our judgment, this only weakens — it doesn’t strengthen — Israel’s security.”Mr. Blinken was in Argentina for meetings with the recently elected president, Javier Milei, and the foreign minister, Diana Mondino.In Washington, John F. Kirby, a White House spokesman, reiterated that stance in comments to reporters. “This is a position that has been consistent over a range of Republican and Democratic administrations — if there’s an administration that is being inconsistent, it was the previous one,” he said.State Department officials declined to say what actions, if any, the United States might take to hold Israeli settlers or the government legally accountable for the building of new settlements.Over many years, settlements have proliferated across the West Bank, Palestinian territory that is occupied by Israel, without the United States pushing for any legal action. About 500,000 residents now live in the occupied West Bank and more than 200,000 in East Jerusalem.In November 2019, President Trump’s secretary of state, Mike Pompeo, reversed four decades of U.S. policy by saying that settlements did not violate international law. State Department lawyers never issued a new legal determination that buttressed that policy change, and Mr. Blinken’s shift back to the old policy is consistent with a longstanding legal finding of the department.Starting in 2021, when President Biden took office, diplomatic reporters asked State Department officials whether Mr. Blinken planned to reverse Mr. Pompeo’s move, but the officials each time said there was no change to policy.Some State Department officials had grown uneasy last year over the sharp surge in acts of violence by extremist settlers. After the Oct. 7 attacks by Hamas, violence increased in the West Bank, and Mr. Biden and Mr. Blinken began denouncing the actions and the expansion of settlements.On Friday afternoon, Jeremy Ben-Ami, the president of J Street, a liberal Jewish American advocacy group that tries to shape policy on Israel, praised Mr. Blinken’s announcement.“Now, the administration must make clear that, particularly in light of the volatility of the current situation between Israelis and Palestinians, there must be no further expansion of the settlement enterprise,” he said in a statement. He added that the Biden administration should show it “will take further steps to enforce its view — and the view of the international community — that the creeping annexation of the West Bank must stop.”Mr. Pompeo’s move in 2019 bolstered the position of Prime Minister Benjamin Netanyahu of Israel, who had vowed during two elections that year to annex the West Bank. Mr. Netanyahu’s new ruling coalition has several far-right ministers that support that direction, and it is those politicians who have helped Mr. Netanyahu stay in power despite the widespread criticism of him over his inability to protect Israel from the Oct. 7 attacks by Hamas and his moves to undermine the judiciary’s power.On Thursday night, the office of one of those ministers, Mr. Smotrich, announced that an existing Israeli planning committee that oversees construction in the West Bank would be convened.He said the committee would move ahead with plans for more than 3,000 housing units, most of them in Ma’ale Adumim, near the site of a Palestinian shooting attack earlier that same day. Mr. Smotrich’s office described the expansion of the settlement as an “appropriate Zionist response” to the attack.“Let every terrorist plotting to harm us know that raising a hand against the citizens of Israel will be met with death, destruction, and the deepening of our eternal grip on the entire Land of Israel,” Mr. Smotrich said in a statement.Mr. Smotrich’s office did not say when the committee would be convened, whether the housing units would be new homes or what stage of the planning process they were in.Mr. Blinken also said he would withhold judgment on the postwar plan for Gaza that Mr. Netanyahu had begun to circulate among Israeli officials. Mr. Blinken said any plan has to align with three principles: Gaza should not be a base for terrorism, the Israeli government should not reoccupy Gaza, and the size of Gaza’s territory should not be reduced.“There are certain basic principles that we set out many months ago,” he said, referring to the outcome of a diplomatic conclave in Tokyo, “that we feel are very important when it comes to Gaza’s future.”Aaron Boxerman contributed reporting from Jerusalem.
8;NYTimes;https://www.nytimes.com;https://www.nytimes.com/2024/02/23/us/politics/biden-immigration-executive-action.html;Biden Tries to Flip the Politics of Immigration;If President Biden moves ahead with a plan to block people who illegally cross into the United States from claiming asylum, it is likely to face a swift legal challenge, much the way an effort by his predecessor in 2018 was blocked by the courts.Politically, such a setback may not even matter.For Mr. Biden, simply issuing an executive action just before his State of the Union address on March 7 could bolster his re-election campaign by demonstrating that he is unilaterally trying to secure the border over Republican opposition.The president’s aides have seized on the decision by Republican lawmakers last month to kill a bipartisan border measure when polls show Americans are deeply concerned about the number of people crossing from Mexico after fleeing gangs, torture and economic distress in Central and South America.“Folks, doing nothing is not an option,” Mr. Biden told the nation’s governors on Friday during a meeting at the White House, suggesting that they pressure lawmakers to revive the border bill in the days ahead.
9;NYTimes;https://www.nytimes.com;https://www.nytimes.com/2024/02/23/nyregion/migrants-debit-cards-adams.html;Why New York’s Plan to Give Migrants Debit Cards Came Under Fire;The idea seemed like a common-sense solution: With thousands of meals intended for migrants uneaten and wasted, New York City leaders created a pilot program to distribute debit cards to families so they could purchase their own food.The plan was quickly ridiculed by Republican leaders and conservative voices, who questioned the wisdom and fairness of giving debit cards to recent migrants, and predicted that it would be abused.Questions were also raised about the cost to the city and how it chose the financial services company that will oversee the program, prompting Mayor Eric Adams to defend the plan.
